epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.2784,1.12543,3.36407,0.98441,0.08241,0.6095,0.3333,0.20091,0.98943,3.59082,0.88585,0.000297589,0.000297589,0.000297589
2,157.723,1.02346,1.37378,0.92313,0.95439,0.90539,0.97907,0.70538,0.91878,1.20548,0.92369,0.000594643,0.000594643,0.000594643
3,223.192,0.92958,0.77504,0.9135,0.97147,0.97132,0.99116,0.71801,0.90929,0.63817,0.92601,0.000885698,0.000885698,0.000885698
4,290.014,0.9162,0.70631,0.91192,0.97179,0.98666,0.99183,0.75267,0.85334,0.60831,0.90376,0.000882003,0.000882003,0.000882003
5,353.348,0.87204,0.6524,0.90266,0.98639,0.98973,0.99421,0.76999,0.81458,0.5447,0.89619,0.000873004,0.000873004,0.000873004
6,420.118,0.85805,0.6283,0.89456,0.98626,0.98659,0.99388,0.76815,0.82777,0.51751,0.90178,0.000864004,0.000864004,0.000864004
7,488.659,0.84186,0.59355,0.89568,0.99205,0.98796,0.99382,0.77471,0.80221,0.49689,0.89546,0.000855005,0.000855005,0.000855005
8,563.935,0.83567,0.57427,0.89288,0.98003,0.99208,0.9939,0.77766,0.78337,0.49206,0.8946,0.000846006,0.000846006,0.000846006
9,632.974,0.81934,0.55629,0.89103,0.98784,0.98665,0.99404,0.76729,0.79619,0.4962,0.89649,0.000837007,0.000837007,0.000837007
10,704.807,0.81729,0.54746,0.88933,0.99212,0.99371,0.99405,0.77965,0.79444,0.46662,0.89665,0.000828008,0.000828008,0.000828008
11,773.852,0.80913,0.53033,0.88447,0.99168,0.99479,0.99447,0.78519,0.78204,0.45428,0.88673,0.000819009,0.000819009,0.000819009
12,844.057,0.79633,0.51448,0.88586,0.99088,0.99719,0.9945,0.78371,0.78922,0.46026,0.88875,0.00081001,0.00081001,0.00081001
13,915.583,0.7987,0.50546,0.8801,0.99345,0.99371,0.99407,0.78855,0.77579,0.44327,0.89205,0.000801011,0.000801011,0.000801011
